first_name,prop_female
ADALZINA,1.0
ADALZIRA,1.0
ADALZIRO,0.0
ADALZISA,1.0
ADALZIZA,1.0
ADALZIZO,0.0
ADAM,0.017613227893601726
ADAMA,1.0
ADAMAR,0.17293233082706766
ADAMARA,1.0
ADAMARES,1.0
ADAMARIO,0.0
ADAMARIS,1.0
ADAMASIO,0.0
ADAMASTOR,0.0
ADAMAZIO,0.0
ADAME,0.0
ADAMES,0.0
ADAMI,0.34210526315789475
ADAMIL,0.0
ADAMILSON,0.0
ADAMILTON,0.0
ADAMIR,0.27348993288590606
ADAMIRES,1.0
ADAMIRO,0.0
ADAMIS,0.0
ADAMO,0.0
ADAMOR,0.0
ADAMOS,0.0
ADAMS,0.0
ADAN,0.026967122275581824
ADANA,1.0
ADANAIR,0.0
ADANE,1.0
ADANEUZA,1.0
ADANI,0.8201438848920863
ADANIA,1.0
ADANIEL,0.0
ADANIELA,1.0
ADANILA,1.0
ADANILDO,0.0
ADANILO,0.0
ADANILSON,0.0
ADANILTON,0.0
ADANILZA,1.0
ADANIR,0.37735849056603776
ADANN,0.0
ADANO,0.0
ADANS,0.0
ADANUBIA,1.0
ADANY,1.0
ADAO,0.002388079231889036
ADAOZINHO,0.0
ADAR,0.5490196078431373
ADARA,1.0
ADARCI,0.6527196652719666
ADARCINO,0.0
ADARCY,1.0
ADARI,0.0
ADARIA,1.0
ADARIAS,0.0
ADARICO,0.0
ADARILDO,0.0
ADARILSON,0.0
ADARIO,0.0
ADARLAN,0.0
ADARLEI,0.0
ADARLENE,1.0
ADARLETE,1.0
ADARLI,0.6
ADAS,0.0
ADASIO,0.0
ADASSA,1.0
ADATIVA,1.0
ADATIVO,0.0
ADAUAN,0.0
ADAUBERTO,0.0
ADAUCTO,0.0
ADAULTO,0.0
ADAURA,1.0
ADAURI,0.0
ADAURY,0.0
ADAUTA,1.0
ADAUTO,0.0
ADAUTON,0.0
ADAVI,0.0
ADAVILSON,0.0
ADAVIO,0.0
ADAYANA,1.0
ADAYANE,1.0
ADAYL,0.0
ADAYLTON,0.0
ADAYR,0.4166666666666667
ADAZIZA,1.0
ADBALDO,0.0
ADBEEL,0.0
ADBIEL,0.0
ADCARLOS,0.0
ADCELIA,1.0
ADCLEIA,1.0
ADDA,1.0
ADDAM,0.0
ADDAN,0.0
ADDISON,0.0
ADDSON,0.0
ADE,0.3652694610778443
ADEALDO,0.0
ADEAN,0.0
ADEANA,1.0
ADEANE,1.0
ADEANGELA,1.0
ADEAR,0.0
ADEBAL,0.0
ADEBALDO,0.0
ADEBORA,1.0
ADEBRAIR,0.0
ADECARLOS,0.0
ADECI,0.5763546798029556
ADECIA,1.0
ADECILDA,1.0
ADECILDO,0.0
ADECILIA,1.0
ADECIMAR,0.0
ADECINA,1.0
ADECIO,0.0
ADECIR,0.17564102564102563
ADECIVALDO,0.0
ADECLAIR,0.0
ADECLEIA,1.0
ADECY,1.0
ADEDINO,0.0
ADEGAIR,0.0
ADEGAR,0.0
ADEGIL,0.0
ADEGILDO,0.0
ADEGILSON,0.0
ADEGINA,1.0
ADEGIR,0.0
ADEGMAR,0.5355805243445693
ADEGUIMAR,0.5714285714285714
ADEI,0.49700598802395207
ADEIA,1.0
ADEIANA,1.0
ADEIAS,0.0
ADEICE,1.0
ADEIDE,0.8273092369477911
ADEIDES,0.6901408450704225
ADEIL,0.17525773195876287
ADEILA,1.0
ADEILANE,1.0
ADEILCE,1.0
ADEILDA,0.9960813584623996
ADEILDE,0.9449128724002248
ADEILDES,0.9302631578947368
ADEILDO,0.004049726878884913
ADEILDON,0.0
ADEILMA,1.0
ADEILMO,0.0
ADEILSA,1.0
ADEILSE,1.0
ADEILSO,0.0
ADEILSOM,0.0
ADEILSON,0.005094212238384582
ADEILTA,1.0
ADEILTO,0.0
ADEILTON,0.005255810133858914
ADEILZA,1.0
ADEILZE,1.0
ADEILZO,0.0
ADEINA,1.0
ADEINE,1.0
ADEIR,0.2122950819672131
ADEIRES,1.0
ADEIRSON,0.0
ADEIRTON,0.0
ADEISA,1.0
ADEISE,1.0
